Feature Name,Category,Subcategory,Description,Input Required,Output,Example Tool/API,Tags,Capability Category,Documentation / URL
Predictive speaker highlighting (who will speak next),Research / Future,,Predictive speaker highlighting (who will speak next) — forward-looking / research-driven capability.,Varies,Metadata/Media,OBS Plugins / Runway,research,Analytics,https://obsproject.com/forum/resources/
Searchable transcript indexing,Speech → Text & Text → Speech,,Searchable transcript indexing — automated capability for live video/streaming apps.,Audio,Modified video/audio/subtitles/metadata,Generic AI Tool,,Analytics,https://huggingface.co/models
Annotate audio track,Auto/Generic,,Annotate audio track — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Audio leveling / normalize,Audio,,Audio leveling / normalize — automated capability for live video/streaming apps.,Microphone,Modified video/audio/subtitles/metadata,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Auto-correct audio track,Auto/Generic,,Auto-correct audio track — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Automatic gain control (AGC),Audio,,Automatic gain control (AGC) — automated capability for live video/streaming apps.,Microphone,Modified video/audio/subtitles/metadata,Generic AI Tool,,Audio,https://huggingface.co/models
Blur Q&A entry with-audio-only-mode,Auto/Generated,,Blur Q&A entry with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track,Auto/Generic,,Blur audio track — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track as-closed-captions,Auto/Generated,,Blur audio track as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track as-emoji,Auto/Generated,,Blur audio track as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track as-searchable-metadata,Auto/Generated,,Blur audio track as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track as-text-snippet,Auto/Generated,,Blur audio track as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track as-timestamped-clip,Auto/Generated,,Blur audio track as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track for-low-bandwidth,Auto/Generated,,Blur audio track for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track in real-time,Auto/Generated,,Blur audio track in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track on-recording,Auto/Generated,,Blur audio track on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track with-audio-only-mode,Auto/Generated,,Blur audio track with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track with-auto-archive,Auto/Generated,,Blur audio track with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track with-clip-optimization,Auto/Generated,,Blur audio track with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track with-confidence-score,Auto/Generated,,Blur audio track with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track with-high-precision,Auto/Generated,,Blur audio track with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track with-language-detection,Auto/Generated,,Blur audio track with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track with-low-latency,Auto/Generated,,Blur audio track with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track with-privacy-preserving-on-device,Auto/Generated,,Blur audio track with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track with-source-link,Auto/Generated,,Blur audio track with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track with-speaker-attribution,Auto/Generated,,Blur audio track with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track with-translation,Auto/Generated,,Blur audio track with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur audio track with-visual-cue,Auto/Generated,,Blur audio track with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur brand logo with-audio-only-mode,Auto/Generated,,Blur brand logo with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur caption with-audio-only-mode,Auto/Generated,,Blur caption with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur chat message with-audio-only-mode,Auto/Generated,,Blur chat message with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur emotion with-audio-only-mode,Auto/Generated,,Blur emotion with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur meeting action item with-audio-only-mode,Auto/Generated,,Blur meeting action item with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise as-closed-captions,Auto/Generated,,Blur noise as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise as-emoji,Auto/Generated,,Blur noise as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise as-searchable-metadata,Auto/Generated,,Blur noise as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise as-text-snippet,Auto/Generated,,Blur noise as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise as-timestamped-clip,Auto/Generated,,Blur noise as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise for-low-bandwidth,Auto/Generated,,Blur noise for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise in real-time,Auto/Generated,,Blur noise in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise on-recording,Auto/Generated,,Blur noise on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise with-audio-only-mode,Auto/Generated,,Blur noise with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise with-auto-archive,Auto/Generated,,Blur noise with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise with-clip-optimization,Auto/Generated,,Blur noise with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise with-confidence-score,Auto/Generated,,Blur noise with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise with-high-precision,Auto/Generated,,Blur noise with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise with-language-detection,Auto/Generated,,Blur noise with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise with-low-latency,Auto/Generated,,Blur noise with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise with-privacy-preserving-on-device,Auto/Generated,,Blur noise with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise with-source-link,Auto/Generated,,Blur noise with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise with-speaker-attribution,Auto/Generated,,Blur noise with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise with-translation,Auto/Generated,,Blur noise with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur noise with-visual-cue,Auto/Generated,,Blur noise with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur participant list with-audio-only-mode,Auto/Generated,,Blur participant list with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur poll result with-audio-only-mode,Auto/Generated,,Blur poll result with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur reaction with-audio-only-mode,Auto/Generated,,Blur reaction with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur screen-share with-audio-only-mode,Auto/Generated,,Blur screen-share with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur sensitive info with-audio-only-mode,Auto/Generated,,Blur sensitive info with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur slide with-audio-only-mode,Auto/Generated,,Blur slide with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur speaker with-audio-only-mode,Auto/Generated,,Blur speaker with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur sponsor logo with-audio-only-mode,Auto/Generated,,Blur sponsor logo with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur timestamp with-audio-only-mode,Auto/Generated,,Blur timestamp with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur transcript segment with-audio-only-mode,Auto/Generated,,Blur transcript segment with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Blur whiteboard with-audio-only-mode,Auto/Generated,,Blur whiteboard with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect Q&A entry with-audio-only-mode,Auto/Generated,,Detect Q&A entry with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track,Auto/Generic,,Detect audio track — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Agora (AI Noise Suppression),,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track as-closed-captions,Auto/Generated,,Detect audio track as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track as-emoji,Auto/Generated,,Detect audio track as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track as-searchable-metadata,Auto/Generated,,Detect audio track as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track as-text-snippet,Auto/Generated,,Detect audio track as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track as-timestamped-clip,Auto/Generated,,Detect audio track as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track for-low-bandwidth,Auto/Generated,,Detect audio track for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track in real-time,Auto/Generated,,Detect audio track in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track on-recording,Auto/Generated,,Detect audio track on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track with-audio-only-mode,Auto/Generated,,Detect audio track with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track with-auto-archive,Auto/Generated,,Detect audio track with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track with-clip-optimization,Auto/Generated,,Detect audio track with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track with-confidence-score,Auto/Generated,,Detect audio track with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track with-high-precision,Auto/Generated,,Detect audio track with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track with-language-detection,Auto/Generated,,Detect audio track with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track with-low-latency,Auto/Generated,,Detect audio track with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track with-privacy-preserving-on-device,Auto/Generated,,Detect audio track with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track with-source-link,Auto/Generated,,Detect audio track with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track with-speaker-attribution,Auto/Generated,,Detect audio track with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track with-translation,Auto/Generated,,Detect audio track with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect audio track with-visual-cue,Auto/Generated,,Detect audio track with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect brand logo with-audio-only-mode,Auto/Generated,,Detect brand logo with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect caption with-audio-only-mode,Auto/Generated,,Detect caption with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect chat message with-audio-only-mode,Auto/Generated,,Detect chat message with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect emotion with-audio-only-mode,Auto/Generated,,Detect emotion with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect meeting action item with-audio-only-mode,Auto/Generated,,Detect meeting action item with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise as-closed-captions,Auto/Generated,,Detect noise as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise as-emoji,Auto/Generated,,Detect noise as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise as-searchable-metadata,Auto/Generated,,Detect noise as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
Detect noise as-text-snippet,Auto/Generated,,Detect noise as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Audio,https://www.agora.io/en/blog/ai-noise-suppression/
